scenario,quarter_index,quarter,kpi_order,pillar,subpillar,kpi,kpi_score_p10,kpi_score_median,kpi_score_p90
rec2_only,12,2028Q4,24,Investment,Commercial Ecosystem,AI Investment Activity,6.68068938065328,7.313557201473136,7.947955605756904
rec2_only,12,2028Q4,25,Investment,Commercial Ecosystem,AI Adoption (%),9.323480499771062,9.664198123095805,9.987902106275348
rec2_only,12,2028Q4,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
rec2_only,13,2029Q1,1,Implementation,Talent,Tortoise Talent Score,31.28,31.28,31.28
rec2_only,13,2029Q1,2,Implementation,Talent,Relative AI Skill Penetration,38.99,38.99,38.99
rec2_only,13,2029Q1,3,Implementation,Talent,AI Hiring Rate YoY Ratio,73.73,73.73,73.73
rec2_only,13,2029Q1,4,Implementation,Talent,AI Talent Concentration,35.58,35.58,35.58
rec2_only,13,2029Q1,5,Implementation,Talent,AI Job Postings (% of Total),30.187338706765495,30.74233881764613,31.27930703712057
rec2_only,13,2029Q1,6,Implementation,Talent,Net Migration Flow of AI Skills,49.62120767156499,49.767758584979475,49.91765987416851
rec2_only,13,2029Q1,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
rec2_only,13,2029Q1,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
rec2_only,13,2029Q1,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
rec2_only,13,2029Q1,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
rec2_only,13,2029Q1,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
rec2_only,13,2029Q1,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
rec2_only,13,2029Q1,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
rec2_only,13,2029Q1,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
rec2_only,13,2029Q1,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
rec2_only,13,2029Q1,16,Innovation,Research,Tortoise Research Score,30.67,30.67,30.67
rec2_only,13,2029Q1,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
rec2_only,13,2029Q1,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
rec2_only,13,2029Q1,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
rec2_only,13,2029Q1,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
rec2_only,13,2029Q1,21,Innovation,Development,Tortoise Development Score,26.21161394595782,26.297843723348144,26.39003406324486
rec2_only,13,2029Q1,22,Innovation,Development,AI Patent Grants (per 100k),0.83,0.83,0.83
rec2_only,13,2029Q1,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,20.07805737172262,21.02208466923632,21.966147360953684
rec2_only,13,2029Q1,24,Investment,Commercial Ecosystem,AI Investment Activity,7.5872176077796905,8.171706319029212,8.740157655043301
rec2_only,13,2029Q1,25,Investment,Commercial Ecosystem,AI Adoption (%),9.53784481387544,9.85901060289146,10.185918220150468
rec2_only,13,2029Q1,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
rec2_only,14,2029Q2,1,Implementation,Talent,Tortoise Talent Score,31.28,31.28,31.28
rec2_only,14,2029Q2,2,Implementation,Talent,Relative AI Skill Penetration,38.99,38.99,38.99
rec2_only,14,2029Q2,3,Implementation,Talent,AI Hiring Rate YoY Ratio,73.73,73.73,73.73
rec2_only,14,2029Q2,4,Implementation,Talent,AI Talent Concentration,35.58,35.58,35.58
rec2_only,14,2029Q2,5,Implementation,Talent,AI Job Postings (% of Total),30.677209594584852,31.206260116911146,31.697734708798244
rec2_only,14,2029Q2,6,Implementation,Talent,Net Migration Flow of AI Skills,49.811818269526775,49.97163982905989,50.13416992303848
rec2_only,14,2029Q2,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
rec2_only,14,2029Q2,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
rec2_only,14,2029Q2,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
rec2_only,14,2029Q2,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
rec2_only,14,2029Q2,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
rec2_only,14,2029Q2,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
rec2_only,14,2029Q2,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
rec2_only,14,2029Q2,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
rec2_only,14,2029Q2,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
rec2_only,14,2029Q2,16,Innovation,Research,Tortoise Research Score,30.67,30.67,30.67
rec2_only,14,2029Q2,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
rec2_only,14,2029Q2,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
rec2_only,14,2029Q2,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
rec2_only,14,2029Q2,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
rec2_only,14,2029Q2,21,Innovation,Development,Tortoise Development Score,26.256077637890478,26.34955190948689,26.445845081786445
rec2_only,14,2029Q2,22,Innovation,Development,AI Patent Grants (per 100k),0.83,0.83,0.83
rec2_only,14,2029Q2,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,21.1967154684031,22.091199448261797,22.953487484268603
rec2_only,14,2029Q2,24,Investment,Commercial Ecosystem,AI Investment Activity,8.228424409606543,8.769792856605743,9.293000611244429
rec2_only,14,2029Q2,25,Investment,Commercial Ecosystem,AI Adoption (%),9.642243796947197,9.977271846790257,10.31397270078252
rec2_only,14,2029Q2,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
rec2_only,15,2029Q3,1,Implementation,Talent,Tortoise Talent Score,31.28,31.28,31.28
rec2_only,15,2029Q3,2,Implementation,Talent,Relative AI Skill Penetration,38.99,38.99,38.99
rec2_only,15,2029Q3,3,Implementation,Talent,AI Hiring Rate YoY Ratio,73.73,73.73,73.73
rec2_only,15,2029Q3,4,Implementation,Talent,AI Talent Concentration,35.58,35.58,35.58
rec2_only,15,2029Q3,5,Implementation,Talent,AI Job Postings (% of Total),31.088742110423013,31.569220522425745,32.023459309392905
rec2_only,15,2029Q3,6,Implementation,Talent,Net Migration Flow of AI Skills,49.99771910554231,50.155343744208125,50.31655863701277
rec2_only,15,2029Q3,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
rec2_only,15,2029Q3,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
rec2_only,15,2029Q3,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
rec2_only,15,2029Q3,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
rec2_only,15,2029Q3,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
rec2_only,15,2029Q3,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
rec2_only,15,2029Q3,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
rec2_only,15,2029Q3,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
rec2_only,15,2029Q3,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
rec2_only,15,2029Q3,16,Innovation,Research,Tortoise Research Score,30.67,30.67,30.67
rec2_only,15,2029Q3,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
rec2_only,15,2029Q3,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
rec2_only,15,2029Q3,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
rec2_only,15,2029Q3,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
rec2_only,15,2029Q3,21,Innovation,Development,Tortoise Development Score,26.283158007980678,26.382230868189644,26.4841373465312
rec2_only,15,2029Q3,22,Innovation,Development,AI Patent Grants (per 100k),0.83,0.83,0.83
rec2_only,15,2029Q3,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,22.116269385879527,22.9146970364387,23.697285815582863
rec2_only,15,2029Q3,24,Investment,Commercial Ecosystem,AI Investment Activity,8.653477161632065,9.15884423467691,9.665461525792987
rec2_only,15,2029Q3,25,Investment,Commercial Ecosystem,AI Adoption (%),9.731165837823674,10.082805753920375,10.433332565208424
rec2_only,15,2029Q3,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
rec2_only,16,2029Q4,1,Implementation,Talent,Tortoise Talent Score,31.28,31.28,31.28
rec2_only,16,2029Q4,2,Implementation,Talent,Relative AI Skill Penetration,38.99,38.99,38.99
rec2_only,16,2029Q4,3,Implementation,Talent,AI Hiring Rate YoY Ratio,73.73,73.73,73.73
rec2_only,16,2029Q4,4,Implementation,Talent,AI Talent Concentration,35.58,35.58,35.58
rec2_only,16,2029Q4,5,Implementation,Talent,AI Job Postings (% of Total),31.324072488233163,31.758431469947627,32.18915886900176
rec2_only,16,2029Q4,6,Implementation,Talent,Net Migration Flow of AI Skills,50.158678949582594,50.30576270603824,50.45656008758368
rec2_only,16,2029Q4,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
rec2_only,16,2029Q4,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
rec2_only,16,2029Q4,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
rec2_only,16,2029Q4,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
rec2_only,16,2029Q4,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
rec2_only,16,2029Q4,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
rec2_only,16,2029Q4,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
rec2_only,16,2029Q4,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
rec2_only,16,2029Q4,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
rec2_only,16,2029Q4,16,Innovation,Research,Tortoise Research Score,30.67,30.67,30.67
rec2_only,16,2029Q4,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
rec2_only,16,2029Q4,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
rec2_only,16,2029Q4,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
rec2_only,16,2029Q4,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
rec2_only,16,2029Q4,21,Innovation,Development,Tortoise Development Score,26.30834686080724,26.412047592716945,26.515102808995113
rec2_only,16,2029Q4,22,Innovation,Development,AI Patent Grants (per 100k),0.83,0.83,0.83
rec2_only,16,2029Q4,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,22.654030517222772,23.38153946104431,24.098271299965457
rec2_only,16,2029Q4,24,Investment,Commercial Ecosystem,AI Investment Activity,8.836532867859205,9.33227756874524,9.832464640530565
rec2_only,16,2029Q4,25,Investment,Commercial Ecosystem,AI Adoption (%),9.766201015223917,10.121483777195706,10.475102512381891
rec2_only,16,2029Q4,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
rec3_only,1,2026Q1,1,Implementation,Talent,Tortoise Talent Score,31.28,31.28,31.28
rec3_only,1,2026Q1,2,Implementation,Talent,Relative AI Skill Penetration,38.99,38.99,38.99
rec3_only,1,2026Q1,3,Implementation,Talent,AI Hiring Rate YoY Ratio,73.73,73.73,73.73
rec3_only,1,2026Q1,4,Implementation,Talent,AI Talent Concentration,35.58,35.58,35.58
rec3_only,1,2026Q1,5,Implementation,Talent,AI Job Postings (% of Total),27.63,27.63,27.63
rec3_only,1,2026Q1,6,Implementation,Talent,Net Migration Flow of AI Skills,48.96,48.96,48.96
rec3_only,1,2026Q1,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
rec3_only,1,2026Q1,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
rec3_only,1,2026Q1,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
rec3_only,1,2026Q1,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
rec3_only,1,2026Q1,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
rec3_only,1,2026Q1,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
rec3_only,1,2026Q1,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
rec3_only,1,2026Q1,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
rec3_only,1,2026Q1,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
rec3_only,1,2026Q1,16,Innovation,Research,Tortoise Research Score,30.67,30.67,30.67
rec3_only,1,2026Q1,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
rec3_only,1,2026Q1,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
rec3_only,1,2026Q1,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
rec3_only,1,2026Q1,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
rec3_only,1,2026Q1,21,Innovation,Development,Tortoise Development Score,25.78,25.78,25.78
rec3_only,1,2026Q1,22,Innovation,Development,AI Patent Grants (per 100k),0.83,0.83,0.83
rec3_only,1,2026Q1,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,14.88,14.88,14.88
rec3_only,1,2026Q1,24,Investment,Commercial Ecosystem,AI Investment Activity,3.16,3.16,3.16
rec3_only,1,2026Q1,25,Investment,Commercial Ecosystem,AI Adoption (%),8.0,8.0,8.0
rec3_only,1,2026Q1,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
rec3_only,2,2026Q2,1,Implementation,Talent,Tortoise Talent Score,31.28,31.28,31.28
rec3_only,2,2026Q2,2,Implementation,Talent,Relative AI Skill Penetration,38.99,38.99,38.99
rec3_only,2,2026Q2,3,Implementation,Talent,AI Hiring Rate YoY Ratio,73.73,73.73,73.73
rec3_only,2,2026Q2,4,Implementation,Talent,AI Talent Concentration,35.58,35.58,35.58
rec3_only,2,2026Q2,5,Implementation,Talent,AI Job Postings (% of Total),27.63,27.63,27.63
rec3_only,2,2026Q2,6,Implementation,Talent,Net Migration Flow of AI Skills,48.96,48.96,48.96
rec3_only,2,2026Q2,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
rec3_only,2,2026Q2,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
rec3_only,2,2026Q2,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
rec3_only,2,2026Q2,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
rec3_only,2,2026Q2,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
rec3_only,2,2026Q2,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
rec3_only,2,2026Q2,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
rec3_only,2,2026Q2,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
rec3_only,2,2026Q2,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
rec3_only,2,2026Q2,16,Innovation,Research,Tortoise Research Score,30.67,30.67,30.67
rec3_only,2,2026Q2,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
rec3_only,2,2026Q2,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
rec3_only,2,2026Q2,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
rec3_only,2,2026Q2,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
rec3_only,2,2026Q2,21,Innovation,Development,Tortoise Development Score,25.78,25.78,25.78
rec3_only,2,2026Q2,22,Innovation,Development,AI Patent Grants (per 100k),0.83,0.83,0.83
rec3_only,2,2026Q2,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,14.88,14.88,14.88
rec3_only,2,2026Q2,24,Investment,Commercial Ecosystem,AI Investment Activity,3.16,3.16,3.16
rec3_only,2,2026Q2,25,Investment,Commercial Ecosystem,AI Adoption (%),8.0,8.0,8.0
rec3_only,2,2026Q2,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
rec3_only,3,2026Q3,1,Implementation,Talent,Tortoise Talent Score,31.28,31.28,31.28
rec3_only,3,2026Q3,2,Implementation,Talent,Relative AI Skill Penetration,38.99,38.99,38.99
rec3_only,3,2026Q3,3,Implementation,Talent,AI Hiring Rate YoY Ratio,73.73,73.73,73.73
rec3_only,3,2026Q3,4,Implementation,Talent,AI Talent Concentration,35.58,35.58,35.58
rec3_only,3,2026Q3,5,Implementation,Talent,AI Job Postings (% of Total),27.63,27.63,27.63
rec3_only,3,2026Q3,6,Implementation,Talent,Net Migration Flow of AI Skills,48.96,48.96,48.96
rec3_only,3,2026Q3,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
rec3_only,3,2026Q3,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
rec3_only,3,2026Q3,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
rec3_only,3,2026Q3,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
rec3_only,3,2026Q3,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
rec3_only,3,2026Q3,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
rec3_only,3,2026Q3,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
rec3_only,3,2026Q3,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
rec3_only,3,2026Q3,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
rec3_only,3,2026Q3,16,Innovation,Research,Tortoise Research Score,30.67,30.67,30.67
rec3_only,3,2026Q3,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
rec3_only,3,2026Q3,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
rec3_only,3,2026Q3,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
rec3_only,3,2026Q3,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
rec3_only,3,2026Q3,21,Innovation,Development,Tortoise Development Score,25.78,25.78,25.78
rec3_only,3,2026Q3,22,Innovation,Development,AI Patent Grants (per 100k),0.83,0.83,0.83
rec3_only,3,2026Q3,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,14.88,14.88,14.88
rec3_only,3,2026Q3,24,Investment,Commercial Ecosystem,AI Investment Activity,3.16,3.16,3.16
rec3_only,3,2026Q3,25,Investment,Commercial Ecosystem,AI Adoption (%),8.0,8.0,8.0
rec3_only,3,2026Q3,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
rec3_only,4,2026Q4,1,Implementation,Talent,Tortoise Talent Score,31.28,31.28,31.28
rec3_only,4,2026Q4,2,Implementation,Talent,Relative AI Skill Penetration,38.99,38.99,38.99
rec3_only,4,2026Q4,3,Implementation,Talent,AI Hiring Rate YoY Ratio,73.73,73.73,73.73
rec3_only,4,2026Q4,4,Implementation,Talent,AI Talent Concentration,35.58,35.58,35.58
rec3_only,4,2026Q4,5,Implementation,Talent,AI Job Postings (% of Total),27.63,27.63,27.663399421220692
rec3_only,4,2026Q4,6,Implementation,Talent,Net Migration Flow of AI Skills,48.96,48.96,48.96
rec3_only,4,2026Q4,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
rec3_only,4,2026Q4,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
rec3_only,4,2026Q4,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
rec3_only,4,2026Q4,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
rec3_only,4,2026Q4,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
rec3_only,4,2026Q4,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
rec3_only,4,2026Q4,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
rec3_only,4,2026Q4,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
rec3_only,4,2026Q4,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
rec3_only,4,2026Q4,16,Innovation,Research,Tortoise Research Score,30.67,30.67,30.67
rec3_only,4,2026Q4,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
rec3_only,4,2026Q4,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
rec3_only,4,2026Q4,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
rec3_only,4,2026Q4,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
rec3_only,4,2026Q4,21,Innovation,Development,Tortoise Development Score,25.78,25.78,25.78
rec3_only,4,2026Q4,22,Innovation,Development,AI Patent Grants (per 100k),0.83,0.83,0.83
rec3_only,4,2026Q4,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,14.88,14.88,14.933298058182736
rec3_only,4,2026Q4,24,Investment,Commercial Ecosystem,AI Investment Activity,3.16,3.16,3.16
rec3_only,4,2026Q4,25,Investment,Commercial Ecosystem,AI Adoption (%),8.0,8.0,8.055852060882096
rec3_only,4,2026Q4,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
rec3_only,5,2027Q1,1,Implementation,Talent,Tortoise Talent Score,31.28,31.28,31.28
rec3_only,5,2027Q1,2,Implementation,Talent,Relative AI Skill Penetration,38.99,38.99,38.99
rec3_only,5,2027Q1,3,Implementation,Talent,AI Hiring Rate YoY Ratio,73.73,73.73,73.73
rec3_only,5,2027Q1,4,Implementation,Talent,AI Talent Concentration,35.58,35.58,35.58
rec3_only,5,2027Q1,5,Implementation,Talent,AI Job Postings (% of Total),27.63,27.66089326811521,27.800088293847036
rec3_only,5,2027Q1,6,Implementation,Talent,Net Migration Flow of AI Skills,48.96,48.96,48.96
rec3_only,5,2027Q1,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
rec3_only,5,2027Q1,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
rec3_only,5,2027Q1,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
rec3_only,5,2027Q1,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
rec3_only,5,2027Q1,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
rec3_only,5,2027Q1,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
rec3_only,5,2027Q1,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
rec3_only,5,2027Q1,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
rec3_only,5,2027Q1,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
rec3_only,5,2027Q1,16,Innovation,Research,Tortoise Research Score,30.67,30.67,30.67
rec3_only,5,2027Q1,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
rec3_only,5,2027Q1,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
rec3_only,5,2027Q1,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
rec3_only,5,2027Q1,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
rec3_only,5,2027Q1,21,Innovation,Development,Tortoise Development Score,25.78,25.78,25.78
rec3_only,5,2027Q1,22,Innovation,Development,AI Patent Grants (per 100k),0.83,0.83,0.83
rec3_only,5,2027Q1,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,14.88,14.92951316572921,15.15142313999275
rec3_only,5,2027Q1,24,Investment,Commercial Ecosystem,AI Investment Activity,3.16,3.16,3.16
rec3_only,5,2027Q1,25,Investment,Commercial Ecosystem,AI Adoption (%),8.0,8.052796636998412,8.284429531892313
rec3_only,5,2027Q1,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
rec3_only,6,2027Q2,1,Implementation,Talent,Tortoise Talent Score,31.28,31.28,31.28
rec3_only,6,2027Q2,2,Implementation,Talent,Relative AI Skill Penetration,38.99,38.99,38.99
rec3_only,6,2027Q2,3,Implementation,Talent,AI Hiring Rate YoY Ratio,73.73,73.73,73.73
rec3_only,6,2027Q2,4,Implementation,Talent,AI Talent Concentration,35.58,35.58,35.58
rec3_only,6,2027Q2,5,Implementation,Talent,AI Job Postings (% of Total),27.658524343714884,27.787325578498937,28.094533876596632
rec3_only,6,2027Q2,6,Implementation,Talent,Net Migration Flow of AI Skills,48.96,48.967879469718866,48.971020157555714
rec3_only,6,2027Q2,7,Implementation,Infrastructure,Tortoise Infrastructure Score,77.05,77.05,77.05
rec3_only,6,2027Q2,8,Implementation,Infrastructure,Compute Hardware Index,3.61,3.61,3.61
rec3_only,6,2027Q2,9,Implementation,Infrastructure,Parts Semiconductor Devices Exports,0.29,0.29,0.29
rec3_only,6,2027Q2,10,Implementation,Infrastructure,Internet Speed,7.61,7.61,7.61
rec3_only,6,2027Q2,11,Implementation,Infrastructure,Energy Resilience Score,86.16,86.16,86.16
rec3_only,6,2027Q2,12,Implementation,Operating Environment,Tortoise Operating Environment Score,93.94,93.94,93.94
rec3_only,6,2027Q2,13,Implementation,Operating Environment,AI Social Media Sentiment,15.56,15.56,15.56
rec3_only,6,2027Q2,14,Implementation,Operating Environment,Conference Submissions on RAI Topics,8.3,8.3,8.3
rec3_only,6,2027Q2,15,Implementation,Operating Environment,Open Data Score,92.86,92.86,92.86
rec3_only,6,2027Q2,16,Innovation,Research,Tortoise Research Score,30.67,30.67,30.67
rec3_only,6,2027Q2,17,Innovation,Research,AI Publications (Total),34.73,34.73,34.73
rec3_only,6,2027Q2,18,Innovation,Research,AI Citations (% of World Total),10.72,10.72,10.72
rec3_only,6,2027Q2,19,Innovation,Research,Notable AI Models,2.5,2.5,2.5
rec3_only,6,2027Q2,20,Innovation,Research,Academia-Industry Concentration,100.0,100.0,100.0
rec3_only,6,2027Q2,21,Innovation,Development,Tortoise Development Score,25.78,25.78,25.78
rec3_only,6,2027Q2,22,Innovation,Development,AI Patent Grants (per 100k),0.83,0.83,0.83
rec3_only,6,2027Q2,23,Investment,Commercial Ecosystem,Tortoise Commercial Score,14.928066904969514,15.146134604109378,15.680619419915017
rec3_only,6,2027Q2,24,Investment,Commercial Ecosystem,AI Investment Activity,3.16,3.1902838571277634,3.3490527809194495
rec3_only,6,2027Q2,25,Investment,Commercial Ecosystem,AI Adoption (%),8.04974470001186,8.274548074774586,8.800606729758817
rec3_only,6,2027Q2,26,Investment,Government Strategy,Tortoise Government Strategy Score,100.0,100.0,100.0
rec3_only,7,2027Q3,1,Implementation,Talent,Tortoise Talent Score,31.28,31.28,31.28
rec3_only,7,2027Q3,2,Implementation,Talent,Relative AI Skill Penetration,38.99,38.99,38.99
rec3_only,7,2027Q3,3,Implementation,Talent,AI Hiring Rate YoY Ratio,73.73,73.73,73.73
rec3_only,7,2027Q3,4,Implementation,Talent,AI Talent Concentration,35.58,35.58,35.58
rec3_only,7,2027Q3,5,Implementation,Talent,AI Job Postings (% of Total),27.781523535263037,28.071163886317542,28.54269643941803
rec3_only,7,2027Q3,6,Implementation,Talent,Net Migration Flow of AI Skills,48.96866487516528,49.00682271684971,49.06760709524076
